"Date"	"Time"	"Open"	"High"	"Low"	"Close"	"Volume"
12/27/2005	03:45	1278.25	1278.50	1278.00	1278.50	86
12/27/2005	04:00	1278.25	1278.75	1278.25	1278.50	113
12/27/2005	04:15	1278.50	1278.50	1278.00	1278.50	372
12/27/2005	04:30	1278.25	1278.75	1278.25	1278.75	202
12/27/2005	04:45	1279.00	1279.50	1278.75	1279.50	645
12/27/2005	05:00	1279.50	1279.75	1279.25	1279.75	766
12/27/2005	05:15	1279.50	1280.00	1279.50	1280.00	294
12/27/2005	05:30	1280.00	1280.75	1280.00	1280.50	1381
12/27/2005	05:45	1280.25	1281.00	1280.00	1280.00	706
12/27/2005	06:00	1280.25	1280.25	1279.75	1280.00	177
12/27/2005	06:15	1280.00	1280.50	1280.00	1280.50	287
12/27/2005	06:30	1280.50	1280.50	1280.25	1280.25	18
12/27/2005	06:45	1280.25	1280.25	1279.75	1280.00	273
12/27/2005	07:00	1279.75	1280.00	1279.50	1280.00	394
12/27/2005	07:15	1279.75	1279.75	1279.25	1279.50	386
12/27/2005	07:30	1279.25	1279.50	1279.25	1279.50	56
12/27/2005	07:45	1279.50	1279.75	1279.25	1279.50	327
12/27/2005	08:00	1279.50	1279.75	1279.25	1279.75	839
12/27/2005	08:15	1280.00	1280.00	1279.25	1279.50	493
12/27/2005	08:30	1279.25	1279.75	1279.25	1279.25	199
12/27/2005	08:45	1279.25	1279.75	1279.25	1279.75	232
12/27/2005	09:00	1279.50	1279.75	1279.50	1279.50	230
12/27/2005	09:15	1279.25	1279.50	1279.00	1279.00	312
12/27/2005	09:30	1279.00	1279.25	1278.00	1278.00	2539
12/27/2005	09:45	1278.00	1279.50	1277.75	1278.75	27334
12/27/2005	10:00	1278.50	1279.50	1278.00	1279.00	19461
12/27/2005	10:15	1279.00	1279.25	1278.00	1278.50	14956
12/27/2005	10:30	1278.50	1278.50	1276.75	1277.25	17408
12/27/2005	10:45	1277.50	1278.25	1277.25	1277.50	6369
12/27/2005	11:00	1277.75	1277.75	1276.50	1276.75	11585
12/27/2005	11:15	1276.75	1277.00	1275.75	1276.25	17404
12/27/2005	11:30	1276.25	1276.75	1273.75	1274.25	23372
12/27/2005	11:45	1274.00	1274.25	1271.25	1271.75	41724
12/27/2005	12:00	1271.50	1272.25	1269.75	1269.75	28963
12/27/2005	12:15	1270.00	1270.00	1267.75	1268.75	38420
12/27/2005	12:30	1268.75	1270.50	1268.25	1270.00	21592
12/27/2005	12:45	1270.00	1270.50	1268.75	1269.75	14735
12/27/2005	13:00	1270.00	1270.00	1268.50	1269.00	13700
12/27/2005	13:15	1268.75	1269.75	1268.75	1269.75	7706
12/27/2005	13:30	1269.50	1270.00	1265.00	1266.25	46766
12/27/2005	13:45	1266.25	1266.75	1264.50	1265.75	21999
12/27/2005	14:00	1265.75	1266.25	1263.50	1264.75	24486
